Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10324	47	46	188	434	47	429	7	324	16	74	410	48
contig#10325	18	9	72	169	24	126	1	108	17	16	149	37
contig#10326	5	16	11	22	16	18	1	15	18	19	22	4
contig#10327	8	17	8	22	15	31	1	21	17	18	19	7
contig#10328	209	207	267	550	370	485	45	378	82	258	317	210
contig#10329	122	452	271	110	337	588	34	173	74	551	94	87
contig#1033	6	9	19	97	14	65	0	50	4	2	32	11
contig#10330	108	159	639	1030	251	946	30	706	85	171	782	109
contig#10331	134	122	261	712	174	615	66	372	125	141	410	108
contig#10332	32	18	53	77	15	68	19	53	9	15	59	57
contig#10333	29	28	65	103	38	108	10	103	22	34	98	21
contig#10334	19	13	116	200	2	74	0	83	25	3	116	11
contig#10335	13	30	13	22	27	33	3	31	12	40	8	16
contig#10336	24	19	98	205	35	210	3	188	14	13	190	18
contig#10337	20	23	39	126	34	93	7	84	17	36	60	26
contig#10338	3	5	8	11	2	11	1	12	1	2	5	4
contig#10339	19	16	24	40	37	46	2	17	12	28	25	17
contig#1034	139	132	370	523	136	630	45	558	75	112	479	95
contig#10340	38	78	76	100	66	165	24	144	22	73	101	47
contig#10341	12	31	71	114	14	70	2	52	26	16	106	12
contig#10342	13	3	42	16	6	14	0	12	4	5	25	4
contig#10343	137	192	172	286	167	458	65	261	70	199	231	123
contig#10344	90	8	230	449	54	670	8	390	20	32	170	36
contig#10345	2	3	7	22	1	8	0	8	11	1	11	3
contig#10346	53	38	195	396	67	390	23	320	44	97	391	48
